Date,Party(ies),Professional Sanction,Month,Count
2023-05-08,Pro Se Litigant,No,2023-05,2
2023-05-29,Pro Se Litigant,No,2023-05,2
2023-06-14,Pro Se Litigant,No,2023-06,3
2023-06-22,Lawyer,No,2023-06,3
2023-06-29,Lawyer,No,2023-06,3
2023-07-19,Lawyer,No,2023-07,1
2023-09-11,Pro Se Litigant,No,2023-09,1
2023-10-06,Pro Se Litigant,No,2023-10,2
2023-10-23,Pro Se Litigant,No,2023-10,2
2023-11-13,Pro Se Litigant,No,2023-11,3
2023-11-16,Pro Se Litigant,No,2023-11,3
2023-11-21,Lawyer,Yes,2023-11,3
2023-12-04,Pro Se Litigant,No,2023-12,1
2024-01-11,Lawyer,No,2024-01,2
2024-01-30,Lawyer,Yes,2024-01,2
2024-02-12,Lawyer,No,2024-02,3
2024-02-13,Pro Se Litigant,No,2024-02,3
2024-02-20,Lawyer,No,2024-02,3
2024-03-05,Lawyer,No,2024-03,4
2024-03-06,Pro Se Litigant,No,2024-03,4
2024-03-20,Pro Se Litigant,No,2024-03,4
2024-03-22,Lawyer,No,2024-03,4
2024-04-18,Lawyer,No,2024-04,1
2024-05-30,Pro Se Litigant,No,2024-05,1
2024-06-26,Lawyer,No,2024-06,1
2024-07-09,Pro Se Litigant,No,2024-07,6
2024-07-12,Pro Se Litigant,No,2024-07,6
2024-07-18,Pro Se Litigant,No,2024-07,6
2024-07-24,Lawyer,No,2024-07,6
2024-07-25,Pro Se Litigant,No,2024-07,6
2024-07-26,Pro Se Litigant,No,2024-07,6
2024-08-01,Pro Se Litigant,No,2024-08,7
2024-08-12,Lawyer,No,2024-08,7
2024-08-13,Lawyer,Yes,2024-08,7
2024-08-13,Pro Se Litigant,No,2024-08,7
2024-08-23,Lawyer,No,2024-08,7
2024-08-27,Lawyer,Yes,2024-08,7
2024-08-30,Lawyer,No,2024-08,7
2024-09-04,Pro Se Litigant,No,2024-09,5
2024-09-06,Pro Se Litigant,No,2024-09,5
2024-09-09,Lawyer,Yes,2024-09,5
2024-09-20,Pro Se Litigant,No,2024-09,5
2024-09-24,Pro Se Litigant,No,2024-09,5
2024-10-10,Expert,No,2024-10,4
2024-10-23,Lawyer; Paralegal,No,2024-10,4
2024-10-30,Lawyer,No,2024-10,4
2024-10-31,Lawyer,No,2024-10,4
2024-11-01,Pro Se Litigant,No,2024-11,6
2024-11-14,Lawyer,No,2024-11,6
2024-11-20,Lawyer,No,2024-11,6
2024-11-21,Pro Se Litigant,No,2024-11,6
2024-11-24,Pro Se Litigant,No,2024-11,6
2024-11-25,Lawyer,No,2024-11,6
2024-12-03,Pro Se Litigant,No,2024-12,10
